,Actual,Prediction
88,136.71,136.395089
89,193.82,194.9709109
90,181.12,180.8103365
91,174.13,173.4208214
92,186.49,187.3115825
93,134.76,136.0969809
94,177.1,177.2655109
95,181.85,182.0999342
96,142.28,141.8965029
97,192.81,192.5143089
98,185.9,185.2698794
99,137.24,136.0624871
100,150.05,148.2734591
101,131.96,131.7997474
102,195.03,195.8195316
103,195.92,196.4003594
104,115.59,115.785682
105,178.69,178.405467
106,192.37,192.5420157
107,131.63,132.2332493
108,153.45,153.2704531
109,184.22,184.1118944
110,176.51,177.6407768
111,142.36,142.5532642
112,132.57,132.4073767
113,138.78,138.4451935
114,110.14,109.9392006
115,166.83,166.5863138
116,165.47,165.2598061
117,184.89,186.4000287
118,120.27,120.9901452
119,138.27,138.0600671
120,117.08,118.3442864
121,151.36,150.9415201
122,170.86,171.6095855
123,195.72,195.6281284
124,170.03,170.4041834
125,153.7,153.3282594
126,136.23,136.2353801
127,110.33,111.9504626
128,140.37,140.5300992
129,153.63,154.3000812
130,136.78,136.193788
131,132.53,132.1528875
132,185.46,184.7460778
133,140.57,140.0618405
134,193.43,192.8495317
135,195.27,195.055396
136,149.8,150.4371026
137,177.56,177.6678079
138,177.74,177.0364739
139,143.1,144.2198484
140,129.57,129.0790706
141,176.25,175.4846937
142,187.72,186.9961284
143,180.77,180.6094243
144,197.12,197.164501
145,184.66,185.1575885
146,198.63,198.2946154
147,126.8,126.0673203
148,192.62,191.9968846
149,127.85,127.9140516
150,128.47,127.8420334
151,149.34,149.6114358
152,123.3,123.6479837
153,181.3,180.8738256
154,179.24,180.0361457
155,186.36,184.869177
156,163.67,163.8003751
157,153.95,154.0953922
158,168.34,168.215748
159,162.84,163.9274104
160,123.99,123.2794203
161,133.13,132.8662994
162,179.73,178.9915012
163,165.52,165.3020239
164,126.63,127.0812153
165,117.36,118.1248185
166,119.43,119.3336338
167,193.57,193.9300654
168,146.63,145.7655994
169,136.17,136.598972
170,137.16,137.0330963
171,116.55,115.9444025
172,164.67,163.8062539
173,128.43,128.1815318
174,126.96,125.9166642
175,197.96,198.1609726
176,164.16,163.5760592
177,158.75,158.1854267
178,144.12,143.5070823
179,154.27,154.8178607
180,154.67,156.4999847
181,133.32,133.6357318
182,172.1,173.4120847
183,174.03,173.3970552
184,185.11,185.6885808
185,156.84,156.1860717
186,153.88,153.5425783
