Date,Open,High,Low,Close,Adj Close,Volume
8/17/2011,164.02,165.38,162.42,163.94,112.70,5365666
8/18/2011,159.01,159.14,153.12,156.63,107.67,15776400
8/19/2011,155.04,156.73,150.22,150.61,103.54,14715756
8/22/2011,154.25,154.57,150.69,151.99,104.48,7582559
8/23/2011,153.59,157.35,152.51,157.09,107.99,7241772
8/24/2011,156.91,159.49,156.17,159.43,109.60,6722642
8/25/2011,160.15,161.12,157.60,158.30,108.82,7062174
8/26/2011,157.60,161.88,156.10,161.70,111.16,6734357
8/29/2011,163.08,165.12,162.87,165.03,113.45,5536896
8/30/2011,164.49,165.88,163.37,164.92,113.38,4683674
8/31/2011,165.67,166.08,163.20,164.35,112.98,6353613
9/1/2011,165.11,166.04,162.64,162.84,111.94,5715239
9/2/2011,160.32,161.50,158.70,159.64,109.74,5208139
9/6/2011,155.89,158.27,155.07,157.85,108.51,6026215
9/7/2011,159.92,160.52,158.85,159.95,109.96,7109244
9/8/2011,159.66,162.12,157.84,157.98,108.61,6304451
9/9/2011,157.33,157.93,153.74,154.27,106.06,7054119
9/12/2011,153.00,155.30,151.78,155.28,106.75,5488571
9/13/2011,156.44,156.71,154.44,156.24,107.41,4941095
9/14/2011,156.80,162.20,154.87,159.89,109.91,7301812
9/15/2011,161.22,162.68,159.88,162.61,111.79,5715762
9/16/2011,163.80,165.38,162.28,165.38,113.69,11556313
9/19/2011,162.05,166.22,161.98,165.52,113.78,4974358
9/20/2011,165.94,169.63,165.11,167.04,114.83,6495242
9/21/2011,167.30,169.86,165.03,165.41,113.71,7367083
9/22/2011,160.93,162.50,159.18,161.20,110.82,8572598
9/23/2011,159.65,162.08,158.47,161.89,111.29,5843584
9/26/2011,163.44,167.02,162.39,166.84,114.69,7056002
9/27/2011,169.04,171.72,168.67,169.89,116.79,7990185
9/28/2011,170.14,172.80,169.29,169.74,116.69,8087881
9/29/2011,171.79,172.95,167.81,171.29,117.75,7263738
9/30/2011,168.27,170.43,167.07,167.18,114.93,8166540
10/3/2011,166.69,170.10,165.43,165.67,113.89,9458560
10/4/2011,164.00,167.37,161.45,167.06,114.84,9623200
10/5/2011,166.89,169.50,165.09,169.07,116.23,6120878
10/6/2011,169.03,173.99,167.93,173.70,119.41,7511221
10/7/2011,174.30,175.64,173.65,174.37,119.87,7157360
10/10/2011,174.95,178.42,174.86,178.41,122.65,6050901
10/11/2011,176.47,177.82,176.01,176.86,121.59,5575703
10/12/2011,177.90,179.73,177.49,177.93,122.32,5583757
10/13/2011,176.84,179.25,176.39,178.60,122.78,4601563
10/14/2011,179.91,182.15,179.47,182.15,125.22,5615137
10/17/2011,181.37,181.80,177.72,178.38,122.63,9194654
10/18/2011,170.17,171.49,168.50,171.03,117.58,16452952
10/19/2011,171.78,171.90,169.23,169.59,116.58,7016882
10/20/2011,170.30,171.36,168.42,169.46,116.49,7859435
10/21/2011,171.23,173.68,170.89,173.64,119.37,8424693
10/24/2011,173.53,175.33,172.68,174.24,119.78,6161568
10/25/2011,173.67,174.92,172.09,172.43,118.54,5620263
10/26/2011,173.75,174.26,171.16,173.97,119.59,5635534
10/27/2011,176.85,178.78,175.12,177.71,122.16,7382459
10/28/2011,177.41,179.80,177.13,179.21,123.20,5240251
10/31/2011,177.43,178.69,176.51,176.51,121.34,4926660
11/1/2011,173.57,175.20,172.79,173.37,119.19,6151735
11/2/2011,175.91,177.10,174.98,175.83,120.88,4326884
11/3/2011,176.99,179.52,175.93,179.06,123.10,5181361
11/4/2011,178.08,178.91,176.62,178.18,122.49,3386530
11/7/2011,178.03,179.47,176.63,179.08,123.11,3693217
11/8/2011,179.24,179.62,177.35,179.02,123.56,4529808
11/9/2011,176.10,177.09,173.19,174.23,120.25,5747561
11/10/2011,175.51,176.64,173.87,175.29,120.99,4060154
11/11/2011,177.12,179.57,177.00,179.14,123.64,3833904
11/14/2011,180.85,181.49,178.63,179.11,123.63,6316376
11/15/2011,179.24,181.62,177.48,180.45,124.55,4796224
11/16/2011,179.56,181.55,178.11,178.41,123.14,4829173
11/17/2011,178.59,180.53,175.33,177.56,122.56,6109163
11/18/2011,178.50,178.75,176.54,177.09,122.23,4645181
11/21/2011,175.31,175.87,172.08,173.50,119.75,5381775
11/22/2011,174.21,174.93,172.36,173.34,119.64,4370816
11/23/2011,172.72,173.51,169.71,170.12,117.42,5021741
11/25/2011,170.18,171.66,169.27,169.27,116.84,2335509
11/28/2011,174.67,174.89,172.72,174.20,120.23,4732313
11/29/2011,174.02,175.25,172.89,172.98,119.40,3830034
11/30/2011,176.45,180.07,176.11,179.73,124.05,8197293
12/1/2011,178.79,181.63,178.56,181.12,125.01,5082305
12/2/2011,181.57,182.92,181.12,181.32,125.15,5190461
12/5/2011,182.77,185.10,182.01,182.45,125.93,5961572
12/6/2011,182.27,185.02,181.95,184.46,127.31,4335565
12/7/2011,183.55,186.33,182.87,185.52,128.05,5315458
12/8/2011,184.02,185.28,182.67,183.15,126.42,4569974
12/9/2011,184.43,186.30,183.94,186.00,128.38,5070903
12/12/2011,185.12,185.37,182.81,183.73,126.81,3970721
12/13/2011,184.95,185.76,182.26,182.74,126.13,5238786
12/14/2011,181.49,181.91,179.73,180.42,124.53,5290354
12/15/2011,182.10,182.79,178.67,179.24,123.71,4680327
12/16/2011,179.74,179.74,173.91,175.50,121.13,12394472
12/19/2011,176.40,176.57,174.24,174.85,120.68,5271735
12/20/2011,177.34,179.09,176.63,179.01,123.55,4958145
12/21/2011,175.16,175.43,171.17,173.49,119.75,9709495
12/22/2011,174.67,174.76,173.04,174.03,120.12,5284392
12/23/2011,175.06,176.72,173.89,176.63,121.91,3192706
12/27/2011,176.84,177.68,176.28,176.82,122.04,2902859
12/28/2011,177.05,177.25,175.28,175.90,121.41,3004112
12/29/2011,175.98,178.04,175.92,177.99,122.85,3076914
12/30/2011,178.14,178.28,175.76,175.79,121.34,3693321
1/3/2012,178.52,180.41,177.82,178.11,122.93,5905716
1/4/2012,177.41,178.14,176.81,177.38,122.43,4546648
1/5/2012,176.68,176.89,175.05,176.54,121.85,4668403
1/6/2012,176.28,176.37,174.29,174.51,120.45,5122367
1/9/2012,174.19,174.25,172.34,173.60,119.82,5440455
1/10/2012,175.17,175.64,173.23,173.34,119.64,5398406
1/11/2012,172.78,174.77,172.56,174.30,120.31,4299897
1/12/2012,173.86,173.91,170.54,172.61,119.14,7197526
1/13/2012,171.59,171.71,169.55,171.28,118.22,5522043
1/17/2012,172.43,174.00,171.43,172.08,118.78,6279556
1/18/2012,171.92,173.61,171.61,173.11,119.48,4812228
